sample,participant,scenario,wz,obs_T,fut_T,t_anchor,t_min,t_max,n_seg_frames,n_gaze_rows,seg_dir,gaze_file,split
P10_S3_rainy_WZ1_s0006,P10,S3_rainy,1,10,25,1765554100.591,1765554098.791,1765554105.591,57,69,aligned\P10_S3_rainy_WZ1_s0006\seg,aligned\P10_S3_rainy_WZ1_s0006\gaze.csv,train
P10_S3_rainy_WZ1_s0007,P10,S3_rainy,1,10,25,1765554100.791,1765554098.991,1765554105.791,57,68,aligned\P10_S3_rainy_WZ1_s0007\seg,aligned\P10_S3_rainy_WZ1_s0007\gaze.csv,train
P10_S3_rainy_WZ1_s0008,P10,S3_rainy,1,10,25,1765554100.991,1765554099.191,1765554105.991,58,68,aligned\P10_S3_rainy_WZ1_s0008\seg,aligned\P10_S3_rainy_WZ1_s0008\gaze.csv,train
P10_S3_rainy_WZ1_s0009,P10,S3_rainy,1,10,25,1765554101.191,1765554099.391,1765554106.191,58,67,aligned\P10_S3_rainy_WZ1_s0009\seg,aligned\P10_S3_rainy_WZ1_s0009\gaze.csv,train
P10_S3_rainy_WZ1_s0010,P10,S3_rainy,1,10,25,1765554101.391,1765554099.591,1765554106.391,59,68,aligned\P10_S3_rainy_WZ1_s0010\seg,aligned\P10_S3_rainy_WZ1_s0010\gaze.csv,train
P10_S3_rainy_WZ1_s0011,P10,S3_rainy,1,10,25,1765554101.591,1765554099.791,1765554106.591,60,68,aligned\P10_S3_rainy_WZ1_s0011\seg,aligned\P10_S3_rainy_WZ1_s0011\gaze.csv,train
P10_S3_rainy_WZ1_s0012,P10,S3_rainy,1,10,25,1765554101.791,1765554099.991,1765554106.791,61,69,aligned\P10_S3_rainy_WZ1_s0012\seg,aligned\P10_S3_rainy_WZ1_s0012\gaze.csv,train
P10_S3_rainy_WZ1_s0013,P10,S3_rainy,1,10,25,1765554101.991,1765554100.191,1765554106.991,60,68,aligned\P10_S3_rainy_WZ1_s0013\seg,aligned\P10_S3_rainy_WZ1_s0013\gaze.csv,train
P10_S4_curve_WZ1_s0000,P10,S4_curve,1,10,25,1765554502.92,1765554501.12,1765554507.92,66,67,aligned\P10_S4_curve_WZ1_s0000\seg,aligned\P10_S4_curve_WZ1_s0000\gaze.csv,train
P10_S4_curve_WZ1_s0001,P10,S4_curve,1,10,25,1765554503.12,1765554501.32,1765554508.12,66,68,aligned\P10_S4_curve_WZ1_s0001\seg,aligned\P10_S4_curve_WZ1_s0001\gaze.csv,train
P10_S4_curve_WZ1_s0002,P10,S4_curve,1,10,25,1765554503.32,1765554501.52,1765554508.32,66,68,aligned\P10_S4_curve_WZ1_s0002\seg,aligned\P10_S4_curve_WZ1_s0002\gaze.csv,train
P10_S4_curve_WZ1_s0003,P10,S4_curve,1,10,25,1765554503.52,1765554501.72,1765554508.52,66,68,aligned\P10_S4_curve_WZ1_s0003\seg,aligned\P10_S4_curve_WZ1_s0003\gaze.csv,train
P10_S4_curve_WZ1_s0004,P10,S4_curve,1,10,25,1765554503.72,1765554501.92,1765554508.72,66,68,aligned\P10_S4_curve_WZ1_s0004\seg,aligned\P10_S4_curve_WZ1_s0004\gaze.csv,train
P10_S4_curve_WZ1_s0005,P10,S4_curve,1,10,25,1765554503.92,1765554502.12,1765554508.92,66,68,aligned\P10_S4_curve_WZ1_s0005\seg,aligned\P10_S4_curve_WZ1_s0005\gaze.csv,train
P10_S4_curve_WZ1_s0006,P10,S4_curve,1,10,25,1765554504.12,1765554502.32,1765554509.12,66,69,aligned\P10_S4_curve_WZ1_s0006\seg,aligned\P10_S4_curve_WZ1_s0006\gaze.csv,train
P10_S4_curve_WZ1_s0007,P10,S4_curve,1,10,25,1765554504.32,1765554502.52,1765554509.32,67,68,aligned\P10_S4_curve_WZ1_s0007\seg,aligned\P10_S4_curve_WZ1_s0007\gaze.csv,train
P10_S4_curve_WZ1_s0008,P10,S4_curve,1,10,25,1765554504.52,1765554502.72,1765554509.52,66,68,aligned\P10_S4_curve_WZ1_s0008\seg,aligned\P10_S4_curve_WZ1_s0008\gaze.csv,train
P10_S4_curve_WZ1_s0009,P10,S4_curve,1,10,25,1765554504.72,1765554502.92,1765554509.72,66,69,aligned\P10_S4_curve_WZ1_s0009\seg,aligned\P10_S4_curve_WZ1_s0009\gaze.csv,train
P10_S4_curve_WZ1_s0010,P10,S4_curve,1,10,25,1765554504.92,1765554503.12,1765554509.92,66,68,aligned\P10_S4_curve_WZ1_s0010\seg,aligned\P10_S4_curve_WZ1_s0010\gaze.csv,train
P10_S4_curve_WZ1_s0011,P10,S4_curve,1,10,25,1765554505.12,1765554503.32,1765554510.12,66,68,aligned\P10_S4_curve_WZ1_s0011\seg,aligned\P10_S4_curve_WZ1_s0011\gaze.csv,train
P10_S4_curve_WZ1_s0012,P10,S4_curve,1,10,25,1765554505.32,1765554503.52,1765554510.32,66,69,aligned\P10_S4_curve_WZ1_s0012\seg,aligned\P10_S4_curve_WZ1_s0012\gaze.csv,train
P10_S4_curve_WZ1_s0013,P10,S4_curve,1,10,25,1765554505.52,1765554503.72,1765554510.52,66,68,aligned\P10_S4_curve_WZ1_s0013\seg,aligned\P10_S4_curve_WZ1_s0013\gaze.csv,train
P10_S4_curve_WZ1_s0014,P10,S4_curve,1,10,25,1765554505.72,1765554503.92,1765554510.72,66,68,aligned\P10_S4_curve_WZ1_s0014\seg,aligned\P10_S4_curve_WZ1_s0014\gaze.csv,train
P10_S4_curve_WZ1_s0015,P10,S4_curve,1,10,25,1765554505.92,1765554504.12,1765554510.92,66,68,aligned\P10_S4_curve_WZ1_s0015\seg,aligned\P10_S4_curve_WZ1_s0015\gaze.csv,train
P10_S4_curve_WZ1_s0016,P10,S4_curve,1,10,25,1765554506.12,1765554504.32,1765554511.12,65,68,aligned\P10_S4_curve_WZ1_s0016\seg,aligned\P10_S4_curve_WZ1_s0016\gaze.csv,train
P10_S5_nighttime_WZ1_s0000,P10,S5_nighttime,1,10,25,1765554927.294,1765554925.494,1765554932.294,65,68,aligned\P10_S5_nighttime_WZ1_s0000\seg,aligned\P10_S5_nighttime_WZ1_s0000\gaze.csv,train
P10_S5_nighttime_WZ1_s0001,P10,S5_nighttime,1,10,25,1765554927.494,1765554925.694,1765554932.494,64,68,aligned\P10_S5_nighttime_WZ1_s0001\seg,aligned\P10_S5_nighttime_WZ1_s0001\gaze.csv,train
P10_S5_nighttime_WZ1_s0002,P10,S5_nighttime,1,10,25,1765554927.694,1765554925.894,1765554932.694,64,68,aligned\P10_S5_nighttime_WZ1_s0002\seg,aligned\P10_S5_nighttime_WZ1_s0002\gaze.csv,train
P10_S5_nighttime_WZ1_s0003,P10,S5_nighttime,1,10,25,1765554927.894,1765554926.094,1765554932.894,64,68,aligned\P10_S5_nighttime_WZ1_s0003\seg,aligned\P10_S5_nighttime_WZ1_s0003\gaze.csv,train
P10_S5_nighttime_WZ1_s0004,P10,S5_nighttime,1,10,25,1765554928.094,1765554926.294,1765554933.094,64,68,aligned\P10_S5_nighttime_WZ1_s0004\seg,aligned\P10_S5_nighttime_WZ1_s0004\gaze.csv,train
P10_S5_nighttime_WZ1_s0005,P10,S5_nighttime,1,10,25,1765554928.294,1765554926.494,1765554933.294,64,68,aligned\P10_S5_nighttime_WZ1_s0005\seg,aligned\P10_S5_nighttime_WZ1_s0005\gaze.csv,train
P10_S5_nighttime_WZ1_s0006,P10,S5_nighttime,1,10,25,1765554928.494,1765554926.694,1765554933.494,63,68,aligned\P10_S5_nighttime_WZ1_s0006\seg,aligned\P10_S5_nighttime_WZ1_s0006\gaze.csv,train
P10_S5_nighttime_WZ1_s0007,P10,S5_nighttime,1,10,25,1765554928.694,1765554926.894,1765554933.694,62,68,aligned\P10_S5_nighttime_WZ1_s0007\seg,aligned\P10_S5_nighttime_WZ1_s0007\gaze.csv,train
P10_S5_nighttime_WZ1_s0008,P10,S5_nighttime,1,10,25,1765554928.894,1765554927.094,1765554933.894,63,69,aligned\P10_S5_nighttime_WZ1_s0008\seg,aligned\P10_S5_nighttime_WZ1_s0008\gaze.csv,train
P10_S5_nighttime_WZ1_s0009,P10,S5_nighttime,1,10,25,1765554929.094,1765554927.294,1765554934.094,63,67,aligned\P10_S5_nighttime_WZ1_s0009\seg,aligned\P10_S5_nighttime_WZ1_s0009\gaze.csv,train
P10_S5_nighttime_WZ1_s0010,P10,S5_nighttime,1,10,25,1765554929.294,1765554927.494,1765554934.294,63,69,aligned\P10_S5_nighttime_WZ1_s0010\seg,aligned\P10_S5_nighttime_WZ1_s0010\gaze.csv,train
P10_S5_nighttime_WZ1_s0011,P10,S5_nighttime,1,10,25,1765554929.494,1765554927.694,1765554934.494,63,68,aligned\P10_S5_nighttime_WZ1_s0011\seg,aligned\P10_S5_nighttime_WZ1_s0011\gaze.csv,train
P10_S5_nighttime_WZ1_s0012,P10,S5_nighttime,1,10,25,1765554929.694,1765554927.894,1765554934.694,63,68,aligned\P10_S5_nighttime_WZ1_s0012\seg,aligned\P10_S5_nighttime_WZ1_s0012\gaze.csv,train
P10_S5_nighttime_WZ1_s0013,P10,S5_nighttime,1,10,25,1765554929.894,1765554928.094,1765554934.894,63,68,aligned\P10_S5_nighttime_WZ1_s0013\seg,aligned\P10_S5_nighttime_WZ1_s0013\gaze.csv,train
P10_S5_nighttime_WZ1_s0014,P10,S5_nighttime,1,10,25,1765554930.094,1765554928.294,1765554935.094,63,68,aligned\P10_S5_nighttime_WZ1_s0014\seg,aligned\P10_S5_nighttime_WZ1_s0014\gaze.csv,train
P10_S5_nighttime_WZ1_s0015,P10,S5_nighttime,1,10,25,1765554930.294,1765554928.494,1765554935.294,63,67,aligned\P10_S5_nighttime_WZ1_s0015\seg,aligned\P10_S5_nighttime_WZ1_s0015\gaze.csv,train
P10_S5_nighttime_WZ1_s0016,P10,S5_nighttime,1,10,25,1765554930.494,1765554928.694,1765554935.494,63,68,aligned\P10_S5_nighttime_WZ1_s0016\seg,aligned\P10_S5_nighttime_WZ1_s0016\gaze.csv,train
P10_S6_truck_WZ1_s0000,P10,S6_truck,1,10,25,1765555287.287,1765555285.487,1765555292.287,61,67,aligned\P10_S6_truck_WZ1_s0000\seg,aligned\P10_S6_truck_WZ1_s0000\gaze.csv,train
P10_S6_truck_WZ1_s0001,P10,S6_truck,1,10,25,1765555287.487,1765555285.687,1765555292.487,61,69,aligned\P10_S6_truck_WZ1_s0001\seg,aligned\P10_S6_truck_WZ1_s0001\gaze.csv,train
P10_S6_truck_WZ1_s0002,P10,S6_truck,1,10,25,1765555287.687,1765555285.887,1765555292.687,62,67,aligned\P10_S6_truck_WZ1_s0002\seg,aligned\P10_S6_truck_WZ1_s0002\gaze.csv,train
P10_S6_truck_WZ1_s0003,P10,S6_truck,1,10,25,1765555287.887,1765555286.087,1765555292.887,64,68,aligned\P10_S6_truck_WZ1_s0003\seg,aligned\P10_S6_truck_WZ1_s0003\gaze.csv,train
P10_S6_truck_WZ1_s0004,P10,S6_truck,1,10,25,1765555288.087,1765555286.287,1765555293.087,63,68,aligned\P10_S6_truck_WZ1_s0004\seg,aligned\P10_S6_truck_WZ1_s0004\gaze.csv,train
P10_S6_truck_WZ1_s0005,P10,S6_truck,1,10,25,1765555288.287,1765555286.487,1765555293.287,63,68,aligned\P10_S6_truck_WZ1_s0005\seg,aligned\P10_S6_truck_WZ1_s0005\gaze.csv,train
P10_S6_truck_WZ1_s0006,P10,S6_truck,1,10,25,1765555288.487,1765555286.687,1765555293.487,63,68,aligned\P10_S6_truck_WZ1_s0006\seg,aligned\P10_S6_truck_WZ1_s0006\gaze.csv,train
P10_S6_truck_WZ1_s0007,P10,S6_truck,1,10,25,1765555288.687,1765555286.887,1765555293.687,63,69,aligned\P10_S6_truck_WZ1_s0007\seg,aligned\P10_S6_truck_WZ1_s0007\gaze.csv,train
P10_S6_truck_WZ1_s0008,P10,S6_truck,1,10,25,1765555288.887,1765555287.087,1765555293.887,62,69,aligned\P10_S6_truck_WZ1_s0008\seg,aligned\P10_S6_truck_WZ1_s0008\gaze.csv,train
P10_S6_truck_WZ1_s0009,P10,S6_truck,1,10,25,1765555289.087,1765555287.287,1765555294.087,62,67,aligned\P10_S6_truck_WZ1_s0009\seg,aligned\P10_S6_truck_WZ1_s0009\gaze.csv,train
P10_S6_truck_WZ1_s0010,P10,S6_truck,1,10,25,1765555289.287,1765555287.487,1765555294.287,62,69,aligned\P10_S6_truck_WZ1_s0010\seg,aligned\P10_S6_truck_WZ1_s0010\gaze.csv,train
P10_S6_truck_WZ1_s0011,P10,S6_truck,1,10,25,1765555289.487,1765555287.687,1765555294.487,62,68,aligned\P10_S6_truck_WZ1_s0011\seg,aligned\P10_S6_truck_WZ1_s0011\gaze.csv,train
P11_S1_normal_WZ1_s0000,P11,S1_normal,1,10,25,1765560689.068,1765560687.268,1765560694.068,65,67,aligned\P11_S1_normal_WZ1_s0000\seg,aligned\P11_S1_normal_WZ1_s0000\gaze.csv,train
P11_S1_normal_WZ1_s0001,P11,S1_normal,1,10,25,1765560689.268,1765560687.468,1765560694.268,64,68,aligned\P11_S1_normal_WZ1_s0001\seg,aligned\P11_S1_normal_WZ1_s0001\gaze.csv,train
P11_S1_normal_WZ1_s0002,P11,S1_normal,1,10,25,1765560689.468,1765560687.668,1765560694.468,64,69,aligned\P11_S1_normal_WZ1_s0002\seg,aligned\P11_S1_normal_WZ1_s0002\gaze.csv,train
P11_S1_normal_WZ1_s0003,P11,S1_normal,1,10,25,1765560689.668,1765560687.868,1765560694.668,64,68,aligned\P11_S1_normal_WZ1_s0003\seg,aligned\P11_S1_normal_WZ1_s0003\gaze.csv,train
P11_S1_normal_WZ1_s0004,P11,S1_normal,1,10,25,1765560689.868,1765560688.068,1765560694.868,63,68,aligned\P11_S1_normal_WZ1_s0004\seg,aligned\P11_S1_normal_WZ1_s0004\gaze.csv,train
P11_S1_normal_WZ1_s0005,P11,S1_normal,1,10,25,1765560690.068,1765560688.268,1765560695.068,63,68,aligned\P11_S1_normal_WZ1_s0005\seg,aligned\P11_S1_normal_WZ1_s0005\gaze.csv,train
P11_S1_normal_WZ1_s0006,P11,S1_normal,1,10,25,1765560690.268,1765560688.468,1765560695.268,62,68,aligned\P11_S1_normal_WZ1_s0006\seg,aligned\P11_S1_normal_WZ1_s0006\gaze.csv,train
P11_S1_normal_WZ1_s0007,P11,S1_normal,1,10,25,1765560690.468,1765560688.668,1765560695.468,63,68,aligned\P11_S1_normal_WZ1_s0007\seg,aligned\P11_S1_normal_WZ1_s0007\gaze.csv,train
